Academic Year,County Name,District Name,School Name,School Type,Educational_Type,Low Grade,High Grade,2021_Enrollment,2021_Free_Meal_Count,2021_Free_Meal_Percent,2021_FRPM_Count,2021_FRPM_Percent
2020-2021,Alameda,Hayward Unified,Cherryland Elementary,Elementary Schools (Public),Traditional,K,6,788,513,0.6509999999999999,556,0.706
2020-2021,Alameda,Hayward Unified,District Office,,,P,Adult,52,15,0.28800000000000003,15,0.28800000000000003
2020-2021,Alameda,Hayward Unified,East Avenue Elementary,Elementary Schools (Public),Traditional,K,6,513,221,0.431,250,0.48700000000000004
2020-2021,Alameda,Hayward Unified,Eden Gardens Elementary,Elementary Schools (Public),Traditional,K,6,513,188,0.366,224,0.43700000000000006
2020-2021,Alameda,Hayward Unified,Eldridge Elementary,Elementary Schools (Public),Traditional,K,6,327,175,0.535,199,0.609
2020-2021,Alameda,Hayward Unified,Fairview Elementary,Elementary Schools (Public),Traditional,K,6,537,292,0.544,323,0.601
2020-2021,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Elementary Schools (Public),Traditional,K,8,134,77,0.575,84,0.627
2020-2021,Alameda,Hayward Unified,Glassbrook Elementary,Elementary Schools (Public),Traditional,K,6,507,338,0.667,353,0.696
2020-2021,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Elementary Schools (Public),Traditional,1,8,308,49,0.159,57,0.185
2020-2021,Alameda,Hayward Unified,Harder Elementary,Elementary Schools (Public),Traditional,K,6,455,297,0.653,322,0.708
2020-2021,Alameda,Hayward Unified,Hayward High,High Schools (Public),Traditional,9,12,1696,838,0.494,945,0.557
2020-2021,Alameda,Hayward Unified,Highland,Special Education Schools (Public),Special Education School,K,12,19,13,0.684,13,0.684
2020-2021,Alameda,Hayward Unified,Impact Academy of Arts & Technology,K-12 Schools (Public),Traditional,6,12,824,375,0.455,492,0.597
2020-2021,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Elementary Schools (Public),Traditional,K,8,602,283,0.47,319,0.53
2020-2021,Alameda,Hayward Unified,Leadership Public Schools - Hayward,High Schools (Public),Traditional,9,12,614,264,0.43,339,0.552
2020-2021,Alameda,Hayward Unified,Longwood Elementary,Elementary Schools (Public),Traditional,K,6,552,359,0.65,387,0.701
2020-2021,Alameda,Hayward Unified,Lorin A. Eden Elementary,Elementary Schools (Public),Traditional,K,6,349,154,0.441,176,0.504
2020-2021,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Intermediate/Middle Schools (Public),Traditional,7,8,731,386,0.528,451,0.617
2020-2021,Alameda,Hayward Unified,Mt. Eden High,High Schools (Public),Traditional,9,12,1967,937,0.47600000000000003,1074,0.546
2020-2021,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",,,,,47,16,0.34,17,0.36200000000000004
2020-2021,Alameda,Hayward Unified,Palma Ceia Elementary,Elementary Schools (Public),Traditional,K,6,522,252,0.483,286,0.5479999999999999
2020-2021,Alameda,Hayward Unified,Park Elementary,Elementary Schools (Public),Traditional,K,6,512,305,0.596,334,0.652
2020-2021,Alameda,Hayward Unified,Ruus Elementary,Elementary Schools (Public),Traditional,K,6,430,229,0.5329999999999999,266,0.619
2020-2021,Alameda,Hayward Unified,Schafer Park Elementary,Elementary Schools (Public),Traditional,K,6,742,436,0.588,484,0.652
2020-2021,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,High Schools (Public),Traditional,9,12,221,115,0.52,131,0.593
2020-2021,Alameda,Hayward Unified,Southgate Elementary,Elementary Schools (Public),Traditional,K,6,657,267,0.406,312,0.475
2020-2021,Alameda,Hayward Unified,Stonebrae Elementary,Elementary Schools (Public),Traditional,K,6,696,275,0.395,289,0.415
2020-2021,Alameda,Hayward Unified,Strobridge Elementary,Elementary Schools (Public),Traditional,K,6,401,207,0.516,226,0.564
2020-2021,Alameda,Hayward Unified,Tennyson High,High Schools (Public),Traditional,9,12,1501,884,0.589,966,0.644
2020-2021,Alameda,Hayward Unified,Treeview Elementary,Elementary Schools (Public),Traditional,K,6,407,236,0.58,254,0.624
2020-2021,Alameda,Hayward Unified,Tyrrell Elementary,Elementary Schools (Public),Traditional,K,6,600,424,0.7070000000000001,445,0.742
2020-2021,Alameda,Hayward Unified,Winton Middle,Intermediate/Middle Schools (Public),Traditional,7,8,528,353,0.669,413,0.782
2020-2021,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Elementary Schools (Public),Traditional,K,5,608,72,0.11800000000000001,76,0.125
2020-2021,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Intermediate/Middle Schools (Public),Traditional,6,8,640,117,0.183,139,0.217
2020-2021,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Elementary Schools (Public),Traditional,K,5,636,129,0.203,141,0.222
2020-2021,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Continuation High Schools,Continuation School,7,12,118,56,0.475,60,0.508
2020-2021,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Intermediate/Middle Schools (Public),Traditional,6,8,585,168,0.287,184,0.315
2020-2021,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Elementary Schools (Public),Traditional,K,5,666,37,0.055999999999999994,42,0.063
2020-2021,Alameda,Livermore Valley Joint Unified,Granada High,High Schools (Public),Traditional,9,12,2334,403,0.17300000000000001,447,0.192
2020-2021,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Elementary Schools (Public),Traditional,K,5,486,142,0.292,154,0.317
2020-2021,Alameda,Livermore Valley Joint Unified,Joe Michell,Elementary Schools (Public),Traditional,K,8,778,124,0.159,146,0.188
2020-2021,Alameda,Livermore Valley Joint Unified,Junction K-8,Elementary Schools (Public),Traditional,K,8,927,452,0.488,491,0.53
2020-2021,Alameda,Livermore Valley Joint Unified,Lawrence Elementary,Elementary Schools (Public),Traditional,K,5,362,52,0.14400000000000002,52,0.14400000000000002
2020-2021,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Elementary Schools (Public),Traditional,P,5,556,130,0.23399999999999999,141,0.254
2020-2021,Alameda,Livermore Valley Joint Unified,Livermore High,High Schools (Public),Traditional,9,12,1860,382,0.205,428,0.23
2020-2021,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Elementary Schools (Public),Traditional,K,5,362,223,0.616,246,0.68
2020-2021,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",,,,,34,6,0.17600000000000002,6,0.17600000000000002
2020-2021,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Elementary Schools (Public),Traditional,K,5,594,106,0.17800000000000002,114,0.192
2020-2021,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Elementary Schools (Public),Traditional,K,5,744,55,0.07400000000000001,66,0.08900000000000001
2020-2021,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Alternative Schools of Choice,Alternative School of Choice,1,12,94,20,0.213,20,0.213
2020-2021,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Intermediate/Middle Schools (Public),Traditional,6,8,921,70,0.076,81,0.08800000000000001
2020-2021,Alameda,Mountain House Elementary,Mountain House Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,K,8,16,10,0.625,12,0.75
2020-2021,Alameda,Newark Unified,August Schilling Elementary,Elementary Schools (Public),Traditional,K,6,370,229,0.619,263,0.711
2020-2021,Alameda,Newark Unified,Birch Grove Intermediate,Elementary Schools (Public),Traditional,3,6,453,150,0.331,182,0.402
2020-2021,Alameda,Newark Unified,Birch Grove Primary,Elementary Schools (Public),Traditional,K,6,418,104,0.249,123,0.294
2020-2021,Alameda,Newark Unified,Bridgepoint High (Continuation),Continuation High Schools,Continuation School,9,12,49,28,0.5710000000000001,36,0.735
2020-2021,Alameda,Newark Unified,Crossroads High (Alternative),Alternative Schools of Choice,Alternative School of Choice,K,12,30,18,0.6,22,0.733
2020-2021,Alameda,Newark Unified,E. L. Musick Elementary,Elementary Schools (Public),Traditional,K,6,272,155,0.57,183,0.6729999999999999
2020-2021,Alameda,Newark Unified,H. A. Snow Elementary,Elementary Schools (Public),Traditional,K,6,286,135,0.47200000000000003,160,0.5589999999999999
2020-2021,Alameda,Newark Unified,James A. Graham Elementary,Elementary Schools (Public),Traditional,K,6,365,220,0.603,256,0.701
2020-2021,Alameda,Newark Unified,John F. Kennedy Elementary,Elementary Schools (Public),Traditional,K,6,392,99,0.253,122,0.311
2020-2021,Alameda,Newark Unified,Lincoln Elementary,Elementary Schools (Public),Traditional,K,6,379,179,0.47200000000000003,212,0.5589999999999999
2020-2021,Alameda,Newark Unified,Newark Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,774,472,0.61,530,0.685
2020-2021,Alameda,Newark Unified,Newark Memorial High,High Schools (Public),Traditional,9,12,1713,710,0.414,867,0.506
2020-2021,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",,,,,6,2,0.33299999999999996,2,0.33299999999999996
2020-2021,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Alternative Schools of Choice,Alternative School of Choice,9,12,9,5,0.556,5,0.556
2020-2021,Alameda,New Haven Unified,Alvarado Elementary,Elementary Schools (Public),Traditional,K,5,655,210,0.321,254,0.38799999999999996
2020-2021,Alameda,New Haven Unified,Cesar Chavez Middle,Intermediate/Middle Schools (Public),Traditional,6,8,1010,459,0.45399999999999996,519,0.514
2020-2021,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Continuation High Schools,Continuation School,9,12,124,49,0.395,50,0.40299999999999997
2020-2021,Alameda,New Haven Unified,Decoto School for Independent Study,Alternative Schools of Choice,Alternative School of Choice,K,12,471,133,0.282,155,0.32899999999999996
2020-2021,Alameda,New Haven Unified,Delaine Eastin Elementary,Elementary Schools (Public),Traditional,K,5,682,88,0.129,109,0.16
2020-2021,Alameda,New Haven Unified,Guy Jr. Emanuele Elementary,Elementary Schools (Public),Traditional,K,5,559,251,0.449,279,0.499
2020-2021,Alameda,New Haven Unified,Hillview Crest Elementary,Elementary Schools (Public),Traditional,K,5,477,234,0.491,274,0.574
2020-2021,Alameda,New Haven Unified,Itliong-Vera Cruz,Intermediate/Middle Schools (Public),Traditional,6,8,1247,321,0.257,412,0.33
2020-2021,Alameda,New Haven Unified,James Logan High,High Schools (Public),Traditional,9,12,3472,1114,0.321,1355,0.39
2020-2021,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",,,,,21,6,0.28600000000000003,7,0.33299999999999996
2020-2021,Alameda,New Haven Unified,Pioneer Elementary,Elementary Schools (Public),Traditional,K,5,685,180,0.263,222,0.324
