Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2021-2022,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,N,N/A,N/A,N,K,12,57,45,78.9%,47,82.5%,37,29,78.4%,31,83.8%,Y
2021-2022,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,N,N/A,N/A,N,K,12,64,64,100.0%,64,100.0%,56,56,100.0%,56,100.0%,Y
2021-2022,01,10017,0130625,Alameda,Alameda County Office of Education,Alternatives in Action,County Office of Education (COE),High Schools (Public),Traditional,N/A,Y,0398,Directly funded,Y,9,12,150,113,75.3%,134,89.3%,129,95,73.6%,116,89.9%,Y
2021-2022,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,N/A,Y,1908,Directly funded,Y,6,8,164,135,82.3%,148,90.2%,164,135,82.3%,148,90.2%,Y
2021-2022,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1284,Directly funded,Y,K,8,202,162,80.2%,177,87.6%,202,162,80.2%,177,87.6%,Y
2021-2022,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,1881,Directly funded,Y,K,12,514,107,20.8%,124,24.1%,508,107,21.1%,124,24.4%,Y
2021-2022,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,0740,Directly funded,Y,P,5,516,321,62.2%,339,65.7%,502,311,62.0%,329,65.5%,Y
2021-2022,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Y,0811,Directly funded,Y,4,12,411,230,56.0%,277,67.4%,401,221,55.1%,268,66.8%,Y
2021-2022,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,2027,Directly funded,Y,K,6,141,69,48.9%,93,66.0%,140,69,49.3%,92,65.7%,Y
2021-2022,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1464,Directly funded,Y,K,8,469,227,48.4%,229,48.8%,459,225,49.0%,227,49.5%,Y
2021-2022,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Y,1707,Directly funded,Y,6,8,108,84,77.8%,90,83.3%,108,84,77.8%,90,83.3%,Y
2021-2022,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,N/A,Y,1888,Locally funded,N,10,12,186,71,38.2%,71,38.2%,25,12,48.0%,12,48.0%,Y
2021-2022,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1383,Directly funded,Y,K,8,349,86,24.6%,92,26.4%,335,84,25.1%,88,26.3%,Y
2021-2022,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Y,1296,Directly funded,Y,K,8,672,139,20.7%,156,23.2%,670,138,20.6%,155,23.1%,Y
2021-2022,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,N,N/A,N/A,N,K,Adult,62,62,100.0%,62,100.0%,43,43,100.0%,43,100.0%,Y
2021-2022,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,N,N/A,N/A,N,P,12,318,318,100.0%,318,100.0%,263,263,100.0%,263,100.0%,Y
2021-2022,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,0352,Directly funded,Y,6,12,356,97,27.2%,98,27.5%,356,97,27.2%,98,27.5%,Y
2021-2022,01,61119,0130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"1,808",311,17.2%,327,18.1%,"1,743",293,16.8%,308,17.7%,Y
2021-2022,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,9,12,168,53,31.5%,53,31.5%,165,51,30.9%,51,30.9%,Y
2021-2022,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,558,57,10.2%,60,10.8%,543,55,10.1%,58,10.7%,Y
2021-2022,01,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,8,552,40,7.2%,55,10.0%,552,40,7.2%,55,10.0%,Y
2021-2022,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,436,59,13.5%,59,13.5%,436,59,13.5%,59,13.5%,Y
2021-2022,01,61119,0132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,12,"1,124",331,29.4%,343,30.5%,"1,111",327,29.4%,339,30.5%,Y
2021-2022,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,570,77,13.5%,80,14.0%,570,77,13.5%,80,14.0%,Y
2021-2022,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,280,49,17.5%,50,17.9%,280,49,17.5%,50,17.9%,Y
2021-2022,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,72,44,61.1%,44,61.1%,45,28,62.2%,28,62.2%,Y
2021-2022,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,819,110,13.4%,115,14.0%,819,110,13.4%,115,14.0%,Y
2021-2022,01,61119,6090047,Alameda,Alameda Unified,Love Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,463,156,33.7%,170,36.7%,451,150,33.3%,164,36.4%,Y
2021-2022,01,61119,0139220,Alameda,Alameda Unified,Maya Lin,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,444,89,20.0%,93,20.9%,444,89,20.0%,93,20.9%,Y
2021-2022,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,1066,Directly funded,Y,K,12,535,186,34.8%,193,36.1%,528,184,34.8%,191,36.2%,Y
2021-2022,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,9,34.6%,9,34.6%,19,7,36.8%,7,36.8%,Y
2021-2022,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,445,211,47.4%,222,49.9%,432,209,48.4%,219,50.7%,Y
2021-2022,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Y,1181,Directly funded,Y,6,8,370,161,43.5%,211,57.0%,370,161,43.5%,211,57.0%,Y
2021-2022,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Y,1718,Directly funded,Y,K,5,278,105,37.8%,137,49.3%,278,105,37.8%,137,49.3%,Y
2021-2022,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,613,223,36.4%,235,38.3%,613,223,36.4%,235,38.3%,Y
2021-2022,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,328,104,31.7%,105,32.0%,328,104,31.7%,105,32.0%,Y
2021-2022,01,61127,0130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"1,187",207,17.4%,307,25.9%,"1,165",205,17.6%,304,26.1%,Y
2021-2022,01,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,799,150,18.8%,218,27.3%,799,150,18.8%,218,27.3%,Y
2021-2022,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,547,66,12.1%,96,17.6%,547,66,12.1%,96,17.6%,Y
2021-2022,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,10,12,2,1,50.0%,2,100.0%,1,1,100.0%,1,100.0%,Y
2021-2022,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,442,73,16.5%,105,23.8%,442,73,16.5%,105,23.8%,Y
2021-2022,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,2,22.2%,2,22.2%,9,2,22.2%,2,22.2%,Y
2021-2022,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,528,160,30.3%,209,39.6%,497,154,31.0%,200,40.2%,Y
2021-2022,01,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,381,89,23.4%,96,25.2%,381,89,23.4%,96,25.2%,Y
2021-2022,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"3,222",845,26.2%,935,29.0%,"3,147",813,25.8%,902,28.7%,Y
2021-2022,01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,10,12,52,40,76.9%,41,78.8%,49,37,75.5%,38,77.6%,Y
2021-2022,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,296,67,22.6%,73,24.7%,287,64,22.3%,70,24.4%,Y
2021-2022,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,281,75,26.7%,83,29.5%,281,75,26.7%,83,29.5%,Y
2021-2022,01,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,258,80,31.0%,83,32.2%,258,80,31.0%,83,32.2%,Y
2021-2022,01,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,6,8,468,252,53.8%,288,61.5%,468,252,53.8%,288,61.5%,Y
2021-2022,01,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,473,142,30.0%,149,31.5%,461,135,29.3%,142,30.8%,Y
2021-2022,01,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,6,8,941,218,23.2%,241,25.6%,941,218,23.2%,241,25.6%,Y
2021-2022,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,16,34.8%,16,34.8%,30,9,30.0%,9,30.0%,Y
2021-2022,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary at West Campus,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,236,70,29.7%,75,31.8%,236,70,29.7%,75,31.8%,Y
2021-2022,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,397,91,22.9%,98,24.7%,390,90,23.1%,97,24.9%,Y
2021-2022,01,61143,6090252,Alameda,Berkeley Unified,Ruth Acty Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,387,70,18.1%,85,22.0%,382,69,18.1%,84,22.0%,Y
2021-2022,01,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,412,114,27.7%,122,29.6%,407,114,28.0%,122,30.0%,Y
2021-2022,01,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,339,111,32.7%,116,34.2%,339,111,32.7%,116,34.2%,Y
2021-2022,01,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,K,5,388,90,23.2%,100,25.8%,380,89,23.4%,99,26.1%,Y
2021-2022,01,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N,N/A,N/A,N,6,8,600,141,23.5%,155,25.8%,600,141,23.5%,155,25.8%,Y
2021-2022,01,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,"1,266",270,21.3%,287,22.7%,"1,266",270,21.3%,287,22.7%,Y
2021-2022,01,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,468,143,30.6%,151,32.3%,447,140,31.3%,148,33.1%,Y
2021-2022,01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,N/A,N,N/A,N/A,N,9,12,"2,699",449,16.6%,491,18.2%,"2,663",440,16.5%,482,18.1%,Y
2021-2022,01,61150,0133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,12,336,92,27.4%,97,28.9%,334,92,27.5%,97,29.0%,Y
2021-2022,01,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,432,62,14.4%,72,16.7%,432,62,14.4%,72,16.7%,Y
2021-2022,01,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N,N/A,N/A,N,6,8,759,151,19.9%,165,21.7%,759,151,19.9%,165,21.7%,Y
2021-2022,01,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,571,57,10.0%,72,12.6%,537,55,10.2%,70,13.0%,Y
2021-2022,01,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,368,30,8.2%,32,8.7%,368,30,8.2%,32,8.7%,Y
2021-2022,01,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,461,112,24.3%,124,26.9%,461,112,24.3%,124,26.9%,Y
2021-2022,01,61150,0000001,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,9,56.3%,9,56.3%,12,7,58.3%,7,58.3%,Y
2021-2022,01,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,124,22,17.7%,23,18.5%,124,22,17.7%,23,18.5%,Y
2021-2022,01,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N,N/A,N/A,N,K,5,582,85,14.6%,85,14.6%,582,85,14.6%,85,14.6%,Y
2021-2022,01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,N,N/A,N/A,N,9,12,102,39,38.2%,41,40.2%,93,36,38.7%,38,40.9%,Y
