Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2019-2020,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,0811,Directly funded,Y,6,12,412,259,62.9%,295,71.6%,402,253,62.9%,288,71.6%,Y
2019-2020,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1284,Directly funded,Y,K,8,267,198,74.2%,228,85.4%,257,190,73.9%,219,85.2%,Y
2019-2020,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1296,Directly funded,Y,K,8,487,69,14.2%,77,15.8%,487,69,14.2%,77,15.8%,Y
2019-2020,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1383,Directly funded,Y,K,8,393,115,29.3%,132,33.6%,382,111,29.1%,127,33.2%,Y
2019-2020,01,10017,0129403,Alameda,Alameda County Office of Education,Epic Charter,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1632,Directly funded,Y,6,8,246,189,76.8%,199,80.9%,246,189,76.8%,199,80.9%,Y
2019-2020,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,73,73,100.0%,73,100.0%,62,62,100.0%,62,100.0%,Y
2019-2020,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,K,12,141,119,84.4%,123,87.2%,117,95,81.2%,99,84.6%,Y
2019-2020,01,10017,0131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1707,Directly funded,Y,6,8,170,129,75.9%,146,85.9%,170,129,75.9%,146,85.9%,Y
2019-2020,01,10017,0136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Yes,1881,Directly funded,Y,K,12,416,92,22.1%,105,25.2%,408,89,21.8%,102,25.0%,Y
2019-2020,01,10017,0136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,N/A,Yes,1888,Locally funded,N,10,12,125,36,28.8%,36,28.8%,13,6,46.2%,6,46.2%,Y
2019-2020,01,10017,0137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,N/A,Yes,1908,Directly funded,Y,6,8,112,83,74.1%,93,83.0%,112,83,74.1%,93,83.0%,Y
2019-2020,01,10017,0138867,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,2027,Directly funded,Y,K,6,89,39,43.8%,63,70.8%,84,38,45.2%,59,70.2%,Y
2019-2020,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,0740,Directly funded,Y,P,5,587,461,78.5%,482,82.1%,570,450,78.9%,467,81.9%,Y
2019-2020,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1464,Directly funded,Y,K,8,484,313,64.7%,381,78.7%,469,304,64.8%,370,78.9%,Y
2019-2020,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,K,Adult,64,64,100.0%,64,100.0%,42,42,100.0%,42,100.0%,Y
2019-2020,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,P,12,350,349,99.7%,349,99.7%,285,285,100.0%,285,100.0%,Y
2019-2020,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,10,27.0%,10,27.0%,33,10,30.3%,10,30.3%,Y
2019-2020,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Not Participating,No ,N/A,N/A,N,9,12,185,52,28.1%,59,31.9%,184,52,28.3%,59,32.1%,Y
2019-2020,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,471,247,52.4%,275,58.4%,455,242,53.2%,270,59.3%,Y
2019-2020,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1066,Directly funded,Y,K,12,610,211,34.6%,238,39.0%,603,207,34.3%,234,38.8%,Y
2019-2020,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Yes,1181,Directly funded,Y,6,8,476,186,39.1%,246,51.7%,476,186,39.1%,246,51.7%,Y
2019-2020,01,61119,0130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"1,777",322,18.1%,355,20.0%,"1,722",305,17.7%,336,19.5%,Y
2019-2020,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,Not Participating,Yes,0352,Directly funded,Y,6,12,358,106,29.6%,111,31.0%,352,102,29.0%,107,30.4%,Y
2019-2020,01,61119,0130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,0398,Directly funded,Y,9,12,171,144,84.2%,160,93.6%,149,125,83.9%,139,93.3%,Y
2019-2020,01,61119,0131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1718,Directly funded,Y,K,5,298,103,34.6%,140,47.0%,298,103,34.6%,140,47.0%,Y
2019-2020,01,61119,0132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,"1,225",418,34.1%,472,38.5%,"1,199",403,33.6%,457,38.1%,Y
2019-2020,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,Not Participating,No ,N/A,N/A,N,9,12,84,43,51.2%,45,53.6%,54,24,44.4%,26,48.1%,Y
2019-2020,01,61119,0139220,Alameda,Alameda Unified,Maya Lin,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,449,93,20.7%,111,24.7%,449,93,20.7%,111,24.7%,Y
2019-2020,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,467,51,10.9%,54,11.6%,467,51,10.9%,54,11.6%,Y
2019-2020,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,638,85,13.3%,93,14.6%,638,85,13.3%,93,14.6%,Y
2019-2020,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,320,46,14.4%,48,15.0%,320,46,14.4%,48,15.0%,Y
2019-2020,01,61119,6090047,Alameda,Alameda Unified,Love Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,550,201,36.5%,226,41.1%,535,196,36.6%,221,41.3%,Y
2019-2020,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,881,115,13.1%,128,14.5%,881,115,13.1%,128,14.5%,Y
2019-2020,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,6,8,609,230,37.8%,253,41.5%,609,230,37.8%,253,41.5%,Y
2019-2020,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,421,155,36.8%,172,40.9%,408,152,37.3%,169,41.4%,Y
2019-2020,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,5,652,57,8.7%,62,9.5%,617,53,8.6%,58,9.4%,Y
2019-2020,01,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,8,606,46,7.6%,59,9.7%,606,46,7.6%,59,9.7%,Y
